timestamp,peak,type
2026-05-06 11:27:55.949277,-1114.9837853315237,beta
2026-05-06 11:27:55.949337,-1489.4157285018337,beta
2026-05-06 11:27:55.949398,-5593.103741939839,alpha
2026-05-06 11:27:56.032813,-2873.6958029393654,alpha
2026-05-06 11:27:56.032878,-1120.6464375661767,beta
2026-05-06 11:27:56.032931,-1795.7380154614102,beta
2026-05-06 11:27:56.032986,-820.5423494079413,beta
2026-05-06 11:27:56.033044,-1638.7024538924127,beta
2026-05-06 11:27:56.033101,-7339.69960196865,alpha
2026-05-06 11:27:56.033161,-1871.0509054487834,beta
2026-05-06 11:27:56.033221,-514.0770359418333,beta
2026-05-06 11:27:56.033279,-2294.034391633676,beta
2026-05-06 11:27:56.033331,-1095.4635887956972,beta
2026-05-06 11:27:56.033388,-982.7025517480779,beta
2026-05-06 11:27:56.033444,-1202.9902620347768,beta
2026-05-06 11:27:56.033495,-1991.787725401744,beta
2026-05-06 11:27:56.033547,-416.45402425991944,beta
2026-05-06 11:27:56.033597,-9386.117148685222,alpha
2026-05-06 11:27:56.033661,-1521.2129875189821,beta
2026-05-06 11:27:56.033719,-2839.954807407223,alpha
2026-05-06 11:27:56.033786,-6946.306327356932,alpha
2026-05-06 11:27:56.033853,-3165.9076108632003,alpha
2026-05-06 11:27:56.033913,-1879.2198893847744,beta
2026-05-06 11:27:56.033968,-557.2370170789959,beta
2026-05-06 11:27:56.034033,-924.8422738084835,beta
2026-05-06 11:27:56.034091,-422.1284318075299,beta
2026-05-06 11:27:56.034150,-1857.991420879007,beta
2026-05-06 11:27:56.034215,-2177.4641771443694,beta
2026-05-06 11:27:56.034273,-1559.5116576849211,beta
2026-05-06 11:27:56.034327,-1044.993894506434,beta
2026-05-06 11:27:56.034390,-2206.058257101153,beta
2026-05-06 11:27:56.034449,-2021.3047235271201,beta
2026-05-06 11:27:56.034505,-2976.114160840015,alpha
2026-05-06 11:27:56.034557,-2964.477168349245,alpha
2026-05-06 11:27:56.034615,-1364.8309508442308,beta
2026-05-06 11:27:56.034671,-3607.239451912208,alpha
2026-05-06 11:27:56.034725,-3611.467439004423,alpha
2026-05-06 11:27:56.034775,-3389.2982907706496,alpha
2026-05-06 11:27:56.034839,-3154.712145758423,alpha
2026-05-06 11:27:56.034888,-2156.2925273629817,beta
2026-05-06 11:27:56.118141,-763.5096741511007,beta
2026-05-06 11:27:56.118204,-1351.3963675139614,beta
2026-05-06 11:27:56.118270,-2170.041303937317,beta
2026-05-06 11:27:56.118342,-917.8293491840923,beta
2026-05-06 11:27:56.118401,-512.6842377372463,beta
2026-05-06 11:27:56.118458,-2595.0836727018955,alpha
2026-05-06 11:27:56.118521,-3095.23114630287,alpha
2026-05-06 11:27:56.118587,-718.1282218116837,beta
2026-05-06 11:27:56.118644,-691.9959696068299,beta
2026-05-06 11:27:56.118692,-457.6363337697255,beta
2026-05-06 11:27:56.118749,-727.8675664947739,beta
2026-05-06 11:27:56.118831,-1826.9032458093711,beta
2026-05-06 11:27:56.118903,-8393.872845978687,alpha
2026-05-06 11:27:56.118963,-2793.1033168742474,alpha
2026-05-06 11:27:56.119015,-5320.295356895842,alpha
2026-05-06 11:27:56.119080,-782.8623731139986,beta
2026-05-06 11:27:56.119146,-2173.8673230621025,beta
2026-05-06 11:27:56.119204,-4270.846700147649,alpha
2026-05-06 11:27:56.119266,-1661.0925521293266,beta
2026-05-06 11:27:56.119322,-3766.2658310444212,alpha
2026-05-06 11:27:56.119388,-2992.03111809898,alpha
2026-05-06 11:27:56.119453,-1404.3095009251706,beta
2026-05-06 11:27:56.119518,-2509.347502602436,alpha
2026-05-06 11:27:56.119586,-1214.6210701360083,beta
2026-05-06 11:27:56.119644,-5339.813119361419,alpha
2026-05-06 11:27:56.119703,-2394.8338942494706,beta
2026-05-06 11:27:56.119782,-16941.50754610658,alpha
2026-05-06 11:27:56.119863,-7175.350133920809,alpha
2026-05-06 11:27:56.119920,-3641.4682017078003,alpha
2026-05-06 11:27:56.119981,-3271.7062038591757,alpha
2026-05-06 11:27:56.120052,-9550.334879166221,alpha
2026-05-06 11:27:56.120101,-3686.0825009766,alpha
2026-05-06 11:27:56.120157,-4599.081798441925,alpha
2026-05-06 11:27:56.120217,-3122.0717427730547,alpha
